[Mon Nov 27 12:34:16.562885 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:18.111470 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:18.312206 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:18.512661 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:18.715210 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:18.915643 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:19.116135 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:19.316590 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:19.518336 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:19.719693 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:19.921614 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:20.122554 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:20.323500 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:20.524027 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:20.724678 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:34:20.925220 2023] [php:notice] [pid 6501] [client 192.168.51.5:38177] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:37:32.221407 2023] [php:notice] [pid 6502] [client 192.168.51.5:38293] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:37:32.665754 2023] [php:notice] [pid 6502] [client 192.168.51.5:38293] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:37:32.866881 2023] [php:notice] [pid 6502] [client 192.168.51.5:38293] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
[Mon Nov 27 12:37:33.075292 2023] [php:notice] [pid 6502] [client 192.168.51.5:38293] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 192.168.51.5:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://symfony.udemy/
